id,permutation,image1_file,image2_file,model_1,model_2,model_1_count,model_2_count,tie_count,survey_pref_model1,eval_score_model1,eval_score_model2,eval_pref_model1,pickscore_score_model1,pickscore_score_model2,pickscore_pref_model1,vqa_score_model1,vqa_score_model2,vqa_pref_model1,dsg_score_model1,dsg_score_model2,dsg_pref_model1,tit_score_score_model1,tit_score_score_model2,tit_score_pref_model1,imagereward_score_model1,imagereward_score_model2,imagereward_pref_model1
2554,V1-S2-V3,2554-4.png,2554-2.png,flux,qwen-image,0,2,0,0.0,0.8333333333333333,1.0,0.45454545454545453,0.21952880918979645,0.23087716102600098,0.487402085466621,0.33495715260505676,0.9654536247253418,0.2575779580146877,0.2857142857142857,0.42857142857142855,0.4,,,,-0.4530729353427887,0.7336044907569885,0.2338537020454177
2554,V1-V2-V3,2554-4.png,2554-2.png,flux,qwen-image,0,2,0,0.0,0.888888888888889,1.0,0.4705882352941177,0.21952880918979645,0.23087716102600098,0.487402085466621,0.33495715260505676,0.9654536247253418,0.2575779580146877,0.2857142857142857,0.42857142857142855,0.4,,,,-0.4530729353427887,0.7336044907569885,0.2338537020454177
0357,V1-S2-V3,0357-5.png,0357-5.png,qwen-image,flux,1,1,1,0.5,1.0,0.9166666666666667,0.5217391304347826,0.25604236125946045,0.24908605217933655,0.5068856838133169,0.9758802056312561,0.9311909079551697,0.5117167360350932,0.3076923076923077,0.3076923076923077,0.5,,,,1.6899244785308838,1.4519412517547607,0.5378729148865452
0357,V1-V2-V3,0357-5.png,0357-5.png,qwen-image,flux,1,1,1,0.5,0.888888888888889,0.8333333333333335,0.5161290322580645,0.25604236125946045,0.24908605217933655,0.5068856838133169,0.9758802056312561,0.9311909079551697,0.5117167360350932,0.3076923076923077,0.3076923076923077,0.5,,,,1.6899244785308838,1.4519412517547607,0.5378729148865452
0244,V1-S2-V3,0244-4.png,0244-4.png,sdxl,z-image,0,4,1,0.1,0.5833333333333334,0.6666666666666666,0.4666666666666667,0.22743359208106995,0.23680806159973145,0.4899034592821058,0.9230435490608215,0.9537401795387268,0.4918220117720194,0.08333333333333333,0.08333333333333333,0.5,,,,0.5890617370605469,1.7307019233703613,0.2539317893061251
0244,V1-V2-V3,0244-4.png,0244-4.png,sdxl,z-image,0,4,1,0.1,0.7222222222222223,0.7777777777777779,0.48148148148148145,0.22743359208106995,0.23680806159973145,0.4899034592821058,0.9230435490608215,0.9537401795387268,0.4918220117720194,0.08333333333333333,0.08333333333333333,0.5,,,,0.5890617370605469,1.7307019233703613,0.2539317893061251
0257,V1-S2-V3,0257-4.png,0257-2.png,z-image,qwen-image,0,2,0,0.0,0.8333333333333333,1.0,0.45454545454545453,0.22955751419067383,0.23692861199378967,0.4920993386626454,0.909176230430603,0.9537397027015686,0.4880393227954093,0.0,0.2,0.0,,,,-1.5619959831237793,-0.017004527151584625,0.1758108351269655
0257,V1-V2-V3,0257-4.png,0257-2.png,z-image,qwen-image,0,2,0,0.0,0.7222222222222223,1.0,0.41935483870967744,0.22955751419067383,0.23692861199378967,0.4920993386626454,0.909176230430603,0.9537397027015686,0.4880393227954093,0.0,0.2,0.0,,,,-1.5619959831237793,-0.017004527151584625,0.1758108351269655
0094,V1-S2-V3,0094-1.png,0094-2.png,z-image,sdxl,3,0,0,1.0,0.9,0.8,0.5294117647058824,0.22816723585128784,0.19300293922424316,0.5417459482034055,0.9091758131980896,0.7489645481109619,0.5483105257026147,0.5,0.5,0.5,,,,0.9336324334144592,0.8164757490158081,0.5334712692548991
0094,V1-V2-V3,0094-1.png,0094-2.png,z-image,sdxl,3,0,0,1.0,0.8666666666666668,0.8666666666666668,0.5,0.22816723585128784,0.19300293922424316,0.5417459482034055,0.9091758131980896,0.7489645481109619,0.5483105257026147,0.5,0.5,0.5,,,,0.9336324334144592,0.8164757490158081,0.5334712692548991
0142,V1-S2-V3,0142-3.png,0142-3.png,sdxl,flux,1,1,1,0.5,1.0,0.9166666666666667,0.5217391304347826,0.2337166666984558,0.22318270802497864,0.5115276571344112,0.8478598594665527,0.945163369178772,0.47286607664705643,0.35294117647058826,0.35294117647058826,0.5,,,,0.40305495262145996,-0.12990359961986542,0.6301728825646541
0142,V1-V2-V3,0142-3.png,0142-3.png,sdxl,flux,1,1,1,0.5,0.9166666666666667,0.8611111111111113,0.5156249999999999,0.2337166666984558,0.22318270802497864,0.5115276571344112,0.8478598594665527,0.945163369178772,0.47286607664705643,0.35294117647058826,0.35294117647058826,0.5,,,,0.40305495262145996,-0.12990359961986542,0.6301728825646541
