Dataset,Prompts,Unique Attributes / 100 Prompts,Unique Relations / 100 Prompts,tokens,relations_per_object,attributes_per_object,noun_chunks_per_prompt,adjectives_per_noun_chunk,prep_phrases,conjunctions,dependency_depth,atoms_per_20_tokens,objects_per_20_tokens,attributes_per_20_tokens,relations_per_20_tokens,Nuance Score
TIIF-Bench,2538,31.44208037825059,27.620173364854217,16.57171000788022,0.7545177365324006,0.391337308253502,4.9121355397951145,0.4614735113788793,2.451142631993696,0.4144996059889677,6.1315996847911745,14.442578080182845,7.210292871627921,2.3294270007207762,4.902858207834149,0.07005507037708096
TIIF-Bench (long),2538,85.61859732072497,69.66115051221435,86.00985027580772,0.9214156908083732,0.5479292054885487,22.81008668242711,0.6029408495492202,11.416469661150511,4.055949566587865,10.500788022064619,14.130431127164258,5.8494454285235715,3.0946118949134824,5.186373803727203,1.3896482002364454
DPGBench,1065,117.2769953051643,96.71361502347418,68.31361502347418,0.8717489298802229,0.5297039269315158,17.430046948356807,0.6114895310603659,9.44225352112676,2.174647887323944,8.712676056338028,14.007274962967738,5.898043644955544,3.0478931701629874,5.061338147849206,1.3260568382564146
T2I-CompBench++,2395,11.189979123173277,14.739039665970772,8.759081419624216,0.4285306690525897,0.3745065778573085,2.670563674321503,0.4370056665672532,0.8826722338204593,0.5774530271398748,4.362421711899791,12.300918382251677,7.264951256262655,2.2347724148809225,2.801194711108098,-0.5947944717275706
GenAI-Bench,1600,28.249999999999996,29.812499999999996,12.666875,0.7681272165334666,0.3421376921689422,3.575,0.3872752976190476,1.96375,0.30875,5.564375,13.64468303526182,6.845383411300234,1.979510858743089,4.819788765218497,-0.1727752518192186
GenEval,553,2.3508137432188065,0.5424954792043399,7.6148282097649185,0.4374924653405666,0.19927667269439422,2.549728752260398,0.21669680530440022,1.1808318264014466,0.35985533453887886,4.466546112115732,12.372730143073722,7.73325739962268,1.3010771627408155,3.338395580710228,-1.009629423421866
GenEval2,800,2.125,1.0,9.575,0.46314880952380943,0.3585654761904762,3.05125,0.37335416666666665,1.45375,0.59625,5.0275,12.600522779916162,7.154776930585755,2.2769103098698684,3.1688355394605394,-0.6427768784260893
LongT2IBench,2893,51.1925337020394,43.553404770134804,83.85655029381265,0.8064693546329872,0.39413005011143065,23.697200138264776,0.44148797020138114,12.494296577946768,2.6564120290356033,8.238506740407882,13.98300088275118,6.482057607438325,2.427229076021553,5.0737141992913015,0.7583657073852083
GECKONUM,1386,0.6493506493506493,0.2886002886002886,4.7994227994228,0.1939153439153439,0.20922318422318423,1.7359307359307359,0.2095117845117845,0.32756132756132755,0.2828282828282828,3.015873015873016,10.726202694117132,8.212137579243512,1.3161431698482884,1.197921945025332,-1.391896794578081
Ours,3099,19.457889641819943,17.231364956437563,20.80509841884479,0.8941035197560072,0.47598127689760666,5.437237818651178,0.54971940501238,3.1697321716682803,0.728622136172959,6.973217166828009,14.246750108256116,6.219769874614458,2.7188699491646293,5.308110284477028,0.26774700371767596
