Dataset,Objects,Avg Attributes/Object,Median Attributes/Object,Pct Objects w/Attributes,Max Attributes/Object
DPGBench,21503,0.5409477747291076,0.0,41.408175603404175,7
TIIF-Bench (long),67787,0.5243335742841547,0.0,41.28962780474132,5
Ours,19804,0.474500100989699,0.0,37.79539486972329,6
GenEval2,2687,0.4190547078526237,0.0,40.37960550800149,3
LongT2IBench,76860,0.3693078324225865,0.0,30.075461878740565,7
T2I-CompBench++,7400,0.35162162162162164,0.0,31.513513513513512,3
TIIF-Bench,15087,0.3459932392125671,0.0,29.170809306025053,5
GenEval,1617,0.3048855905998763,0.0,29.74644403215832,2
GenAI-Bench,6676,0.2995805871779509,0.0,25.97363690832834,6
GECKONUM,2435,0.18193018480492812,0.0,18.069815195071868,2
