dataset,type,term,count
TIIF-Bench,object,it,374
TIIF-Bench,object,text,332
TIIF-Bench,object,picture,279
TIIF-Bench,object,scene,226
TIIF-Bench,object,table,145
TIIF-Bench,object,man,143
TIIF-Bench,object,person,103
TIIF-Bench,object,woman,91
TIIF-Bench,object,style,89
TIIF-Bench,object,cat,83
TIIF-Bench,object,book,79
TIIF-Bench,object,tree,77
TIIF-Bench,object,background,76
TIIF-Bench,object,boy,65
TIIF-Bench,object,glass,62
TIIF-Bench,object,side,60
TIIF-Bench,object,bottom,60
TIIF-Bench,object,right,59
TIIF-Bench,object,girl,59
TIIF-Bench,object,left,56
TIIF-Bench,object,dog,56
TIIF-Bench,object,desk,56
TIIF-Bench,object,car,55
TIIF-Bench,object,bird,53
TIIF-Bench,object,top,52
TIIF-Bench,object,room,52
TIIF-Bench,object,people,51
TIIF-Bench,object,hat,50
TIIF-Bench,object,light,50
TIIF-Bench,object,child,46
TIIF-Bench,object,image,45
TIIF-Bench,object,rabbit,44
TIIF-Bench,object,surface,42
TIIF-Bench,object,apple,41
TIIF-Bench,object,chair,39
TIIF-Bench,object,view,39
TIIF-Bench,object,bowl,39
TIIF-Bench,object,vase,38
TIIF-Bench,object,sky,37
TIIF-Bench,object,frog,36
TIIF-Bench,object,that,35
TIIF-Bench,object,design,35
TIIF-Bench,object,cup,34
TIIF-Bench,object,fish,34
TIIF-Bench,object,shadow,32
TIIF-Bench,object,hair,31
TIIF-Bench,object,ghibli style,30
TIIF-Bench,object,lego style,30
TIIF-Bench,object,gogh style,30
TIIF-Bench,object,disney style,30
TIIF-Bench (long),object,that,1486
TIIF-Bench (long),object,scene,764
TIIF-Bench (long),object,light,703
TIIF-Bench (long),object,surface,661
TIIF-Bench (long),object,shadow,652
TIIF-Bench (long),object,it,499
TIIF-Bench (long),object,hue,471
TIIF-Bench (long),object,tableau,433
TIIF-Bench (long),object,contrast,422
TIIF-Bench (long),object,presence,415
TIIF-Bench (long),object,edge,370
TIIF-Bench (long),object,image,366
TIIF-Bench (long),object,air,364
TIIF-Bench (long),object,they,364
TIIF-Bench (long),object,which,354
TIIF-Bench (long),object,background,330
TIIF-Bench (long),object,eye,325
TIIF-Bench (long),object,glow,316
TIIF-Bench (long),object,color,304
TIIF-Bench (long),object,sky,288
TIIF-Bench (long),object,room,286
TIIF-Bench (long),object,composition,279
TIIF-Bench (long),object,form,269
TIIF-Bench (long),object,texture,262
TIIF-Bench (long),object,depth,251
TIIF-Bench (long),object,elegance,242
TIIF-Bench (long),object,text,242
TIIF-Bench (long),object,word,234
TIIF-Bench (long),object,lighting,216
TIIF-Bench (long),object,tone,211
TIIF-Bench (long),object,sunlight,209
TIIF-Bench (long),object,backdrop,205
TIIF-Bench (long),object,warmth,187
TIIF-Bench (long),object,table,186
TIIF-Bench (long),object,gradient,177
TIIF-Bench (long),object,embrace,165
TIIF-Bench (long),object,pattern,165
TIIF-Bench (long),object,side,164
TIIF-Bench (long),object,each,164
TIIF-Bench (long),object,wall,160
TIIF-Bench (long),object,juxtaposition,158
TIIF-Bench (long),object,energy,158
TIIF-Bench (long),object,element,156
TIIF-Bench (long),object,he,154
TIIF-Bench (long),object,design,154
TIIF-Bench (long),object,man,153
TIIF-Bench (long),object,simplicity,152
TIIF-Bench (long),object,hand,147
TIIF-Bench (long),object,sense,143
TIIF-Bench (long),object,expanse,142
DPGBench,object,that,419
DPGBench,object,it,223
DPGBench,object,surface,218
DPGBench,object,scene,213
DPGBench,object,they,210
DPGBench,object,light,171
DPGBench,object,background,159
DPGBench,object,texture,143
DPGBench,object,backdrop,142
DPGBench,object,sky,141
DPGBench,object,color,138
DPGBench,object,table,136
DPGBench,object,contrast,132
DPGBench,object,which,123
DPGBench,object,room,115
DPGBench,object,wall,114
DPGBench,object,hue,112
DPGBench,object,shadow,110
DPGBench,object,glow,110
DPGBench,object,side,105
DPGBench,object,image,89
DPGBench,object,tree,89
DPGBench,object,window,87
DPGBench,object,sunlight,79
DPGBench,object,array,77
DPGBench,object,edge,77
DPGBench,object,hand,76
DPGBench,object,space,74
DPGBench,object,arm,69
DPGBench,object,grass,66
DPGBench,object,water,63
DPGBench,object,pattern,62
DPGBench,object,design,62
DPGBench,object,line,62
DPGBench,object,ground,60
DPGBench,object,pair,59
DPGBench,object,each,59
DPGBench,object,floor,58
DPGBench,object,head,57
