id,image1_file,image2_file,model_1,model_2,model_1_count,model_2_count,tie_count,survey_pref_model1,eval_score_model1,eval_score_model2,eval_pref_model1,dsg_score_model1,dsg_score_model2,dsg_pref_model1,vqa_score_model1,vqa_score_model2,vqa_pref_model1
2554,2554-4.png,2554-2.png,flux,qwen-image,0,2,0,0.0,0.9777777777777779,0.6666666666666666,0.5945945945945946,0.2857142857142857,0.42857142857142855,0.4,0.33495715260505676,0.9654536247253418,0.2575779580146877
0357,0357-5.png,0357-5.png,qwen-image,flux,1,1,1,0.5,0.8444444444444444,0.6222222222222222,0.5757575757575757,0.3076923076923077,0.3076923076923077,0.5,0.9311909079551697,0.9311909079551697,0.5
0244,0244-4.png,0244-4.png,sdxl,z-image,0,4,1,0.1,0.7666666666666666,0.8,0.48936170212765956,0.08333333333333333,0.08333333333333333,0.5,0.9537401795387268,0.9537401795387268,0.5
0257,0257-4.png,0257-2.png,z-image,qwen-image,0,2,0,0.0,0.7777777777777778,0.8777777777777779,0.4697986577181208,0.0,0.2,0.0,0.909176230430603,0.9537397027015686,0.4880393227954093
0094,0094-1.png,0094-2.png,z-image,sdxl,3,0,0,1.0,1.0,0.8977777777777778,0.5269320843091335,0.5,0.5,0.5,0.9091758131980896,0.7489645481109619,0.5483105257026147
0142,0142-3.png,0142-3.png,sdxl,flux,1,1,1,0.5,1.0,0.9833333333333332,0.504201680672269,0.35294117647058826,0.35294117647058826,0.5,0.945163369178772,0.945163369178772,0.5
1321,1321-3.png,1321-5.png,qwen-image,sd15,0,0,0,0.5,0.7555555555555555,0.47111111111111115,0.6159420289855073,0.2,0.2,0.5,0.8241847157478333,0.5310928225517273,0.6081298423804185
2635,2635-2.png,2635-1.png,sdxl,z-image,0,3,1,0.125,0.28888888888888886,0.3777777777777777,0.4333333333333334,0.0,0.1111111111111111,0.0,0.7795612215995789,0.9348363876342773,0.4547143657928661
0851,0851-5.png,0851-2.png,qwen-image,sdxl,3,1,0,0.75,0.8777777777777779,0.6666666666666666,0.5683453237410072,0.5454545454545454,0.45454545454545453,0.5454545454545454,0.9612202644348145,0.9230431318283081,0.5101305190883131
0126,0126-3.png,0126-4.png,flux,sdxl,0,0,0,0.5,0.6444444444444444,0.6444444444444444,0.5,0.4444444444444444,0.4444444444444444,0.5,0.9712460041046143,0.42674675583839417,0.6947432289593608
2477,2477-4.png,2477-2.png,sdxl,flux,1,3,0,0.25,0.7555555555555555,0.7333333333333333,0.5074626865671642,0.2857142857142857,0.2857142857142857,0.5,0.9712453484535217,0.9038645625114441,0.5179671563645574
2808,2808-3.png,2808-1.png,sd15,sdxl,0,1,1,0.25,0.6611111111111111,0.9166666666666666,0.41901408450704225,0.36363636363636365,0.45454545454545453,0.4444444444444445,0.8620529770851135,0.9348366260528564,0.4797473231408768
0659,0659-1.png,0659-1.png,flux,sd15,1,0,0,1.0,0.8833333333333332,0.4155555555555555,0.6800684345594524,0.08333333333333333,0.08333333333333333,0.5,0.788750171661377,0.788750171661377,0.5
0130,0130-4.png,0130-5.png,sd15,sdxl,0,4,1,0.1,0.3333333333333333,0.5111111111111111,0.39473684210526316,0.14285714285714285,0.35714285714285715,0.2857142857142857,0.26705145835876465,0.8396196961402893,0.241310580178308
2480,2480-4.png,2480-2.png,flux,sd15,2,0,0,1.0,0.8444444444444443,0.6444444444444444,0.5671641791044776,0.4,0.2,0.6666666666666666,0.9348358511924744,0.5653470754623413,0.6231479072202342
1254,1254-5.png,1254-5.png,sdxl,flux,0,4,0,0.0,0.4222222222222222,0.4333333333333333,0.4935064935064935,0.2727272727272727,0.2727272727272727,0.5,0.9230433106422424,0.9230433106422424,0.5
1338,1338-5.png,1338-1.png,qwen-image,flux,2,2,1,0.5,0.9555555555555555,0.6533333333333333,0.5939226519337016,0.1,0.1,0.5,0.824178159236908,0.7287613749504089,0.5307213456113191
0346,0346-4.png,0346-5.png,sdxl,sd15,2,0,2,0.75,0.6222222222222221,0.35,0.64,0.4,0.2,0.6666666666666666,0.43857720494270325,0.36501625180244446,0.5457700050459644
0741,0741-3.png,0741-5.png,flux,z-image,0,3,0,0.0,0.4444444444444445,0.4444444444444445,0.5,0.3076923076923077,0.46153846153846156,0.4,0.21125517785549164,0.9271089434623718,0.1855778602815814
1953,1953-3.png,1953-5.png,sd15,sdxl,0,0,0,0.5,0.36888888888888893,0.6399999999999999,0.3656387665198238,0.18181818181818182,0.2727272727272727,0.4,0.18789398670196533,0.9271085858345032,0.1685143974820918
2377,2377-2.png,2377-2.png,z-image,flux,0,1,2,0.3333333333333333,0.8333333333333334,0.8555555555555555,0.493421052631579,0.3333333333333333,0.3333333333333333,0.5,0.9417083263397217,0.9417083263397217,0.5
1498,1498-5.png,1498-2.png,qwen-image,sd15,4,2,1,0.6428571428571429,0.8833333333333334,0.6777777777777778,0.5658362989323843,0.7,0.7,0.5,0.9509496688842773,0.8933345079421997,0.5156199249730641
3009,3009-1.png,3009-1.png,flux,sd15,6,0,0,1.0,1.0,0.7166666666666667,0.5825242718446602,0.375,0.375,0.5,0.7489640116691589,0.7489640116691589,0.5
1869,1869-1.png,1869-5.png,qwen-image,sd15,1,0,1,0.75,0.6777777777777778,0.6333333333333333,0.516949152542373,0.2857142857142857,0.2857142857142857,0.5,0.9185469150543213,0.9038646817207336,0.5040282429500474
0904,0904-1.png,0904-2.png,flux,z-image,4,0,0,1.0,0.7644444444444444,0.6722222222222223,0.5320959010054138,0.5,0.5,0.5,0.9038617014884949,0.8816317915916443,0.5062251444721039
1048,1048-3.png,1048-4.png,z-image,sdxl,2,0,0,1.0,0.8861111111111111,0.725,0.5499999999999999,0.21428571428571427,0.14285714285714285,0.6000000000000001,0.9140734672546387,0.7795612215995789,0.5397111155493811
0003,0003-1.png,0003-5.png,sd15,sdxl,1,2,2,0.4,0.5622222222222222,0.6588888888888889,0.4604185623293903,0.1111111111111111,0.1111111111111111,0.5,0.5787544846534729,0.44897741079330444,0.5631376112948949
2579,2579-3.png,2579-4.png,flux,qwen-image,1,4,0,0.2,0.43111111111111117,0.6533333333333333,0.3975409836065574,0.375,0.375,0.5,0.7592747807502747,0.8241852521896362,0.4795035965262583
1051,1051-4.png,1051-2.png,sdxl,flux,3,1,0,0.75,0.8977777777777778,0.7111111111111111,0.5580110497237568,0.36363636363636365,0.2727272727272727,0.5714285714285715,0.9230432510375977,0.39467641711235046,0.7004852954297417
0167,0167-1.png,0167-2.png,sdxl,sd15,4,0,0,1.0,0.6066666666666667,0.40888888888888897,0.5973741794310721,0.3,0.3,0.5,0.9654521346092224,0.5544121265411377,0.635222604601866
0507,0507-5.png,0507-1.png,qwen-image,z-image,0,0,1,0.5,0.8055555555555556,0.7277777777777776,0.5253623188405797,0.2,0.2,0.5,0.9348368048667908,0.9417088031768799,0.49816897647447717
2584,2584-4.png,2584-5.png,flux,qwen-image,0,2,2,0.25,0.5303703703703704,0.7762962962962963,0.40589569160997735,0.15,0.2,0.4285714285714286,0.37513476610183716,0.6494418978691101,0.36613635591496785
1842,1842-1.png,1842-3.png,z-image,sd15,2,0,0,1.0,0.6666666666666666,0.37777777777777777,0.6382978723404256,0.42857142857142855,0.2857142857142857,0.6000000000000001,0.9869022369384766,0.7387926578521729,0.5718868612972291
0124,0124-3.png,0124-5.png,z-image,flux,0,1,0,0.0,0.8622222222222223,0.6044444444444445,0.5878787878787879,0.5,0.5,0.5,0.8876819610595703,0.9185471534729004,0.491455903305678
2683,2683-2.png,2683-5.png,flux,sdxl,1,0,0,1.0,0.5777777777777777,0.28888888888888886,0.6666666666666666,0.38461538461538464,0.38461538461538464,0.5,0.9481682181358337,0.8756287693977356,0.5198869307367915
0545,0545-5.png,0545-3.png,qwen-image,flux,1,1,2,0.5,0.8444444444444444,0.7166666666666666,0.5409252669039146,0.25,0.25,0.5,0.9384951591491699,0.86881422996521,0.5192775320052161
1528,1528-3.png,1528-5.png,sd15,sdxl,0,1,0,0.0,0.3022222222222222,0.46222222222222226,0.3953488372093023,0.16666666666666666,0.16666666666666666,0.5,0.2179611474275589,0.6148794293403625,0.2617081269904261
0817,0817-4.png,0817-1.png,flux,qwen-image,1,0,2,0.6666666666666666,0.6555555555555556,0.6666666666666666,0.4957983193277311,0.4444444444444444,0.4444444444444444,0.5,0.903864860534668,0.9140734672546387,0.49719225713988197
2496,2496-5.png,2496-3.png,flux,qwen-image,1,0,1,0.75,1.0,1.0,0.5,0.4444444444444444,0.4444444444444444,0.5,0.9635697603225708,0.9729074835777283,0.4975889922578305
0911,0911-1.png,0911-2.png,z-image,sdxl,2,0,1,0.8333333333333334,0.7666666666666667,0.5666666666666667,0.575,0.36363636363636365,0.36363636363636365,0.5,0.9537402391433716,0.9384956955909729,0.5040281825518071
0056,0056-2.png,0056-1.png,qwen-image,flux,0,0,1,0.5,0.8711111111111112,0.888888888888889,0.4949494949494949,0.3333333333333333,0.3333333333333333,0.5,0.9185410737991333,0.9140704274177551,0.5012197474419454
2790,2790-4.png,2790-1.png,z-image,sdxl,1,0,1,0.75,0.7777777777777778,0.7555555555555555,0.5072463768115942,0.2727272727272727,0.2727272727272727,0.5,0.931191623210907,0.9588761329650879,0.492676318173325
2378,2378-4.png,2378-5.png,sdxl,flux,0,2,0,0.0,0.7288888888888888,0.8222222222222223,0.46991404011461313,0.36363636363636365,0.2727272727272727,0.5714285714285715,0.4168616533279419,0.9417085647583008,0.3068385040231165
2559,2559-4.png,2559-3.png,flux,sdxl,1,0,3,0.625,0.5555555555555556,0.6666666666666666,0.45454545454545453,0.6,0.6,0.5,0.8241842985153198,0.9449328184127808,0.465873226045337
1961,1961-2.png,1961-5.png,qwen-image,flux,0,2,2,0.25,0.8722222222222221,0.7722222222222223,0.5304054054054054,0.3,0.3,0.5,0.9729074835777283,0.9311909675598145,0.5109544010166575
0183,0183-5.png,0183-3.png,z-image,flux,0,1,1,0.25,0.47222222222222215,0.47222222222222215,0.5,0.3076923076923077,0.3076923076923077,0.5,0.9417082667350769,0.8153782486915588,0.5359487187837316
0178,0178-3.png,0178-2.png,flux,sdxl,2,0,0,1.0,0.6833333333333333,0.4111111111111111,0.6243654822335025,0.36363636363636365,0.2727272727272727,0.5714285714285715,0.89858478307724,0.14072619378566742,0.8645966443937306
1412,1412-2.png,1412-2.png,sdxl,qwen-image,1,1,0,0.5,0.8722222222222221,0.9666666666666666,0.47432024169184295,0.4444444444444444,0.4444444444444444,0.5,0.9612206816673279,0.9612206816673279,0.5
