dataset,type,term,count
TIIF-Bench,object,style,383
TIIF-Bench,object,text,340
TIIF-Bench,object,picture,292
TIIF-Bench,object,scene,240
TIIF-Bench,object,table,166
TIIF-Bench,object,man,147
TIIF-Bench,object,glass,115
TIIF-Bench,object,person,111
TIIF-Bench,object,fabric,107
TIIF-Bench,object,tree,106
TIIF-Bench,object,cat,100
TIIF-Bench,object,woman,94
TIIF-Bench,object,book,91
TIIF-Bench,object,leather,91
TIIF-Bench,object,background,84
TIIF-Bench,object,desk,69
TIIF-Bench,object,hat,69
TIIF-Bench,object,rubber,69
TIIF-Bench,object,dog,68
TIIF-Bench,object,boy,68
TIIF-Bench,object,design,64
TIIF-Bench,object,car,63
TIIF-Bench,object,room,62
TIIF-Bench,object,light,60
TIIF-Bench,object,right,59
TIIF-Bench,object,girl,59
TIIF-Bench,object,surface,58
TIIF-Bench,object,left,57
TIIF-Bench,object,bird,56
TIIF-Bench,object,ball,56
TIIF-Bench,object,child,52
TIIF-Bench,object,chair,51
TIIF-Bench,object,art,51
TIIF-Bench,object,people,51
TIIF-Bench,object,rabbit,50
TIIF-Bench,object,image,50
TIIF-Bench,object,cup,47
TIIF-Bench,object,frog,45
TIIF-Bench,object,color,45
TIIF-Bench,object,vase,44
TIIF-Bench,object,fish,43
TIIF-Bench,object,sky,43
TIIF-Bench,object,view,42
TIIF-Bench,object,bowl,42
TIIF-Bench,object,apple,42
TIIF-Bench,object,plastic,41
TIIF-Bench,object,city,40
TIIF-Bench,object,clock,39
TIIF-Bench,object,wall,39
TIIF-Bench,object,computer,38
TIIF-Bench (long),object,light,877
TIIF-Bench (long),object,scene,865
TIIF-Bench (long),object,shadow,792
TIIF-Bench (long),object,surface,778
TIIF-Bench (long),object,hue,590
TIIF-Bench (long),object,color,495
TIIF-Bench (long),object,contrast,482
TIIF-Bench (long),object,tableau,458
TIIF-Bench (long),object,presence,438
TIIF-Bench (long),object,air,431
TIIF-Bench (long),object,text,416
TIIF-Bench (long),object,sky,409
TIIF-Bench (long),object,edge,393
TIIF-Bench (long),object,glow,384
TIIF-Bench (long),object,background,379
TIIF-Bench (long),object,eye,374
TIIF-Bench (long),object,image,372
TIIF-Bench (long),object,texture,359
TIIF-Bench (long),object,room,319
TIIF-Bench (long),object,style,319
TIIF-Bench (long),object,form,309
TIIF-Bench (long),object,composition,300
TIIF-Bench (long),object,serif,300
TIIF-Bench (long),object,word,287
TIIF-Bench (long),object,tone,278
TIIF-Bench (long),object,depth,257
TIIF-Bench (long),object,elegance,252
TIIF-Bench (long),object,font,245
TIIF-Bench (long),object,sun,237
TIIF-Bench (long),object,fabric,235
TIIF-Bench (long),object,lighting,234
TIIF-Bench (long),object,table,233
TIIF-Bench (long),object,backdrop,232
TIIF-Bench (long),object,pattern,231
TIIF-Bench (long),object,sunlight,229
TIIF-Bench (long),object,nature,226
TIIF-Bench (long),object,palette,226
TIIF-Bench (long),object,element,220
TIIF-Bench (long),object,energy,214
TIIF-Bench (long),object,design,213
TIIF-Bench (long),object,warmth,211
TIIF-Bench (long),object,wall,210
TIIF-Bench (long),object,tranquil,207
TIIF-Bench (long),object,hand,205
TIIF-Bench (long),object,glass,203
TIIF-Bench (long),object,tree,203
TIIF-Bench (long),object,gold,203
TIIF-Bench (long),object,san,198
TIIF-Bench (long),object,man,196
TIIF-Bench (long),object,gradient,191
DPGBench,object,surface,255
DPGBench,object,scene,249
DPGBench,object,light,223
DPGBench,object,table,212
DPGBench,object,sky,172
DPGBench,object,background,165
DPGBench,object,color,163
DPGBench,object,texture,156
DPGBench,object,room,151
DPGBench,object,backdrop,150
DPGBench,object,wall,147
DPGBench,object,tree,142
DPGBench,object,contrast,142
DPGBench,object,hue,127
DPGBench,object,glow,127
DPGBench,object,water,112
DPGBench,object,shadow,110
DPGBench,object,glass,105
DPGBench,object,image,99
DPGBench,object,window,98
DPGBench,object,space,90
DPGBench,object,sunlight,89
DPGBench,object,sun,88
DPGBench,object,pattern,82
DPGBench,object,finish,79
DPGBench,object,design,78
DPGBench,object,line,78
DPGBench,object,hand,78
DPGBench,object,array,77
DPGBench,object,edge,77
DPGBench,object,arm,74
DPGBench,object,leaf,73
DPGBench,object,floor,72
DPGBench,object,painting,72
DPGBench,object,grass,71
DPGBench,object,eye,65
DPGBench,object,ground,63
DPGBench,object,setting,62
DPGBench,object,silver,62
DPGBench,object,landscape,61
DPGBench,object,kitchen,61
DPGBench,object,orange,61
DPGBench,object,head,60
DPGBench,object,street,60
DPGBench,object,leg,60
DPGBench,object,pair,59
DPGBench,object,detail,59
DPGBench,object,area,59
DPGBench,object,center,58
DPGBench,object,person,57
T2I-CompBench++,object,person,102
T2I-CompBench++,object,glass,89
T2I-CompBench++,object,fabric,85
T2I-CompBench++,object,woman,81
T2I-CompBench++,object,man,80
T2I-CompBench++,object,table,77
T2I-CompBench++,object,chair,74
T2I-CompBench++,object,leather,74
T2I-CompBench++,object,dog,73
T2I-CompBench++,object,cup,70
T2I-CompBench++,object,book,64
T2I-CompBench++,object,rubber,61
T2I-CompBench++,object,desk,60
T2I-CompBench++,object,vase,59
T2I-CompBench++,object,right,59
T2I-CompBench++,object,cat,58
T2I-CompBench++,object,left,57
T2I-CompBench++,object,car,56
T2I-CompBench++,object,bowl,55
T2I-CompBench++,object,horse,55
T2I-CompBench++,object,phone,54
T2I-CompBench++,object,candle,51
T2I-CompBench++,object,frog,51
T2I-CompBench++,object,balloon,50
T2I-CompBench++,object,pig,49
T2I-CompBench++,object,clock,49
T2I-CompBench++,object,backpack,48
T2I-CompBench++,object,chicken,46
T2I-CompBench++,object,mouse,45
T2I-CompBench++,object,giraffe,45
T2I-CompBench++,object,train,45
T2I-CompBench++,object,plate,45
T2I-CompBench++,object,bird,45
T2I-CompBench++,object,sofa,44
T2I-CompBench++,object,bag,44
T2I-CompBench++,object,fish,44
T2I-CompBench++,object,lamp,42
T2I-CompBench++,object,apple,42
T2I-CompBench++,object,child,42
T2I-CompBench++,object,sheep,41
T2I-CompBench++,object,girl,41
T2I-CompBench++,object,rabbit,41
T2I-CompBench++,object,bee,40
T2I-CompBench++,object,wallet,40
T2I-CompBench++,object,hat,40
T2I-CompBench++,object,cow,39
T2I-CompBench++,object,triangular,39
T2I-CompBench++,object,boy,38
T2I-CompBench++,object,suitcase,37
T2I-CompBench++,object,airplane,37
GenAI-Bench,object,table,94
GenAI-Bench,object,tree,83
GenAI-Bench,object,cat,78
GenAI-Bench,object,child,68
GenAI-Bench,object,man,61
GenAI-Bench,object,book,57
GenAI-Bench,object,person,57
GenAI-Bench,object,dog,57
GenAI-Bench,object,garden,52
GenAI-Bench,object,flower,51
GenAI-Bench,object,right,51
GenAI-Bench,object,left,50
GenAI-Bench,object,girl,48
GenAI-Bench,object,glass,48
GenAI-Bench,object,boy,47
GenAI-Bench,object,hat,44
GenAI-Bench,object,sky,42
GenAI-Bench,object,woman,40
GenAI-Bench,object,light,36
GenAI-Bench,object,desk,33
GenAI-Bench,object,bird,32
GenAI-Bench,object,beach,32
GenAI-Bench,object,car,32
GenAI-Bench,object,park,31
GenAI-Bench,object,pair,30
GenAI-Bench,object,group,30
GenAI-Bench,object,forest,28
GenAI-Bench,object,chair,28
GenAI-Bench,object,wall,28
GenAI-Bench,object,shoe,28
GenAI-Bench,object,leaf,28
GenAI-Bench,object,room,27
GenAI-Bench,object,window,27
GenAI-Bench,object,water,27
GenAI-Bench,object,kitchen,26
GenAI-Bench,object,apple,26
GenAI-Bench,object,city,25
GenAI-Bench,object,people,25
GenAI-Bench,object,box,25
GenAI-Bench,object,hand,25
GenAI-Bench,object,street,24
GenAI-Bench,object,field,24
GenAI-Bench,object,cup,24
GenAI-Bench,object,mountain,23
GenAI-Bench,object,shirt,23
GenAI-Bench,object,student,22
GenAI-Bench,object,ball,21
GenAI-Bench,object,door,21
GenAI-Bench,object,sign,21
GenAI-Bench,object,dress,21
GenEval,object,photo,553
GenEval,object,computer,26
GenEval,object,right,24
GenEval,object,dog,23
GenEval,object,baseball,23
GenEval,object,bear,23
GenEval,object,tv,19
GenEval,object,stop,19
GenEval,object,sign,18
GenEval,object,cow,16
GenEval,object,suitcase,16
GenEval,object,cell,16
GenEval,object,phone,16
GenEval,object,pizza,16
GenEval,object,plant,15
GenEval,object,zebra,15
GenEval,object,keyboard,15
GenEval,object,laptop,15
GenEval,object,parking,14
GenEval,object,meter,14
GenEval,object,couch,14
GenEval,object,dining,14
GenEval,object,table,14
GenEval,object,bench,13
GenEval,object,carrot,13
GenEval,object,skateboard,13
GenEval,object,train,13
GenEval,object,broccoli,13
GenEval,object,handbag,13
GenEval,object,refrigerator,12
GenEval,object,car,12
GenEval,object,bat,12
GenEval,object,orange,12
GenEval,object,vase,12
GenEval,object,giraffe,12
GenEval,object,sink,12
GenEval,object,book,11
GenEval,object,backpack,11
GenEval,object,mouse,11
GenEval,object,frisbee,11
GenEval,object,scissor,11
GenEval,object,toilet,11
GenEval,object,toothbrush,11
GenEval,object,horse,11
GenEval,object,glove,11
GenEval,object,wine,11
GenEval,object,glass,11
GenEval,object,apple,11
GenEval,object,tennis,11
GenEval,object,racket,11
GenEval2,object,left,119
GenEval2,object,right,108
GenEval2,object,glass,76
GenEval2,object,metal,73
GenEval2,object,stone,71
GenEval2,object,suitcase,61
GenEval2,object,elephant,59
GenEval2,object,dog,59
GenEval2,object,sheep,58
GenEval2,object,candle,57
GenEval2,object,rabbit,56
GenEval2,object,chair,56
GenEval2,object,pig,54
GenEval2,object,kangaroo,54
GenEval2,object,motorcycle,53
GenEval2,object,bicycle,53
GenEval2,object,violin,52
GenEval2,object,toy,51
GenEval2,object,raccoon,51
GenEval2,object,car,51
GenEval2,object,umbrella,51
GenEval2,object,giraffe,51
GenEval2,object,bird,50
GenEval2,object,bagel,50
GenEval2,object,lion,50
GenEval2,object,trumpet,49
GenEval2,object,mushroom,49
GenEval2,object,bear,48
GenEval2,object,clock,48
GenEval2,object,turtle,48
